,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28523187320,1732043700804094273,Áo Sơ Mi Vải Denim Chiết Eo 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Có Dây Chỉnh Eo Logo Hợp Kim Basic,206 268,Sơ Mi chiết eo denim. CE02,,To Youth,Sơ mi,denim giấy,501DE1_AMN016_,,https://cf.shopee.vn/file/vn-11134207-7ra0g-m7neb56dntm967,,SP đang bán,Team D,Bình + Nghĩa,Thảo Ng,Mỹ Duyên,"Xanh đậm
Xanh Nhạt (25/9: cắt mã)",,,,,"- Chất liệu Denim mềm 
- Áo Sơ mi cổ đức, có dây đai lưng, tăng giảm theo ý muốn",,,17,17,1,Áo Sơ Mi Vải Denim Chiết Eo 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Có Dây Chỉnh Eo Logo Hợp Kim Basic,,,,,,,,,,,,https://shopee.vn/product/574105684/28523187320,https://www.tiktok.com/view/product/1732043700804094273?region=VN&locale=vi-VN,,,Chị Sura,Báo BD/Superpi gia hạn đơn hàng,
27860606531,1730934271379147073,Áo Sơ Mi Boxy Kẻ Sọc 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Oxford Cúc Màu Đỏ/Xanh Form Unisex Nam Nữ,201 260,Sơ mi boxy kẻ,,Sản phẩm lẻ,Sơ mi,oxford,409KE1_AMN048_,"409KE1_AMN048_VA
409KE1_AMN048_XA
409KE1_AMN048_HO",https://cf.shopee.vn/file/vn-11134207-7ras8-m0sg8gkza3kf23,,SP Không Tái,Team D,Bình + Nghĩa,Đ. Yến,Lan Hương,"Kẻ vàng
Kẻ hồng
Kẻ xanh
Kẻ đỏ",,"size 1: <m65, <55kg
size 2: <m70, <60kg 
size 3: <m75, <65kg",,,"- Áo sơ mi form rộng với 4 màu sắc: hồng, vàng, xanh, đỏ
- Điểm nhấn ở phần cúc áo màu sắc nổi bật.
- Hình thêu ở phía sau lưng nổi bật, chắc chắn, thay đổi theo màu áo.
- Logo thêu ở túi áo trái.",,,14,14,1,Áo Sơ Mi Boxy 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Kẻ Sọc Oxford Cúc Màu Đỏ/Xanh Form Unisex Nam Nữ,,,,,,,,,,,,https://shopee.vn/product/574105684/27860606531,https://www.tiktok.com/view/product/1730934271379147073?region=VN&locale=vi-VN,,,,Booking chụp ảnh,
19137120867,1729555187624413505,Áo Khoác Gió 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Bomber BABE Chữ Thêu Style Đường Phố Âu Mỹ.,280 360,,,Sản phẩm lẻ,Áo khoác gió,gió,304GI1_AKHD011_,"304GI1_AKHD011_DE
304GI1_AKHD011_XT",https://cf.shopee.vn/file/vn-11134207-7ras8-m3ribeye2k6tb3,,SP đang bán,Team D,Bình + Nghĩa,Đ. Yến,Lan Hương,Đen,,"size 1: <m65, <55kg
size 2: <m70, <60kg 
size 3: <m75, <65kg",,,"- Áo Khoác gió Bomber, chất liệu gió dầy dặn
- Fom áo rộng rãi thoài mái tredy
- Chữ Đắp BABE nổi bật",,,14,14,2,,2D.AKHD011,,,,,,,,,,,https://shopee.vn/product/574105684/19137120867,https://www.tiktok.com/view/product/1729555187624413505?region=VN&locale=vi-VN,,,,Booking quay video,
27381722518,1731336871699055937,Quần Váy Dáng Chữ A 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Kẻ Sọc Phối Đai Phong Cách Hàn Quốc,176 237,Váy Kẻ chữ A phối đai,,Sản phẩm lẻ, Quần váy,vải kẻ chéo,504KE2_CQN011_,"504KE2_CQN011_DE
504KE2_CQN011_GH",https://cf.shopee.vn/file/vn-11134207-7ras8-md78b3odu7xp78,,SP đang bán,Team D,Bình + Nghĩa,Thảo Ph,Lan Hương,"Đen
Xám",,"size 1: <m65, <55kg
size 2: <m70, <60kg 
size 3: <m75, <65kg",CAM 12SP,,"- Dáng váy chữ A tôn dáng
- Phối đai lưng điều chỉnh theo ý",,,16,16,2,Quần Váy Dáng Chữ A 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Kẻ Sọc Phối Đai Phong Cách Hàn Quốc,CAM 12SP,,,,,,,,,,,https://shopee.vn/product/574105684/27381722518,https://www.tiktok.com/view/product/1731336871699055937?region=VN&locale=vi-VN,,,,Gửi đơn KOL,
28477285473,1732142973627500865,Quần Giả Chân Váy Bí 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Siêu Phồng Chất Dù Hack Dáng Cho Nữ,165 237,váy Bí Trơn,,To Youth, Quần váy,gió nhăn,502GI1_CQL010_,"502GI1_CQL010_BE
502GI1_CQL010_DE",https://cf.shopee.vn/file/vn-11134207-7ras8-md6dz50o87n19e,,Bán hết cắt mẫu,Team D,Bình + Nghĩa,Thảo Ng,Lan Hương,"Đen
Be",,"size 1: <m65, <55kg
size 2: <m70, <60kg 
size 3: <m75, <65kg",,,"- Chân Váy dáng bí
- Phối dây lưng tháo rời có thể tùy ý tạo kiểu
- Cạp sau có chun co dãn, thoải mái, phối 2 cúc cạp trước, có túi sườn tiện lợi",,,17,17,1,https://drive.google.com/drive/u/2/folders/1D_U3tvsaHHMm7zS9W4e64jhjYnv8PD3p,CAM CAM 15SP,,,,,,,,,,,https://shopee.vn/product/574105684/28477285473,https://www.tiktok.com/view/product/1732142973627500865?region=VN&locale=vi-VN,,,,Update thông tin,
18195211674,1729849904227584321,Áo Khoác Phao 𝘽𝙮𝙘𝙖𝙢𝙘𝙖𝙢 Phồng Siêu Nhẹ Siêu Ấm Mùa Đông,301 380,áo phao phồng,,Sản phẩm lẻ,Áo phao,gió chần bông,311SN1_AKHD016_,"311SN1_AKHD016_BE
311SN1_AKHD016_DE
311SN1_AKHD016_HO",https://cf.shopee.vn/file/vn-11134207-820l4-mhgzh1hsfpqec1,,SP đang bán,Team D,Bình + Nghĩa,Thảo Ng,Lan Hương,"Kem
Đen
Hồng
Nâu",,"size 1: <m65, <55kg
size 2: <m70, <60kg 
size 3: <m75, <65kg",,,"- Áo có gam màu đơn giản, dễ dàng phối đồ và phù hợp với nhiều phong cách khác nhau.
- Form áo croptop mới lạ, giúp hack chiều cao so với các form áo phao thông thường.
- Áo có mũ rộng và có dây rút điều chỉnh độ rộng.
- Gấu áo có dây rút điều chỉnh độ ôm vào cơ thể.
- Khoá kéo cùng màu áo.",,,22,22,2,https://drive.google.com/drive/u/2/folders/1tq17EE3OSNMX51Pieb91ACLN409WC8TG,"Áo Khoác Phao Phồng Siêu Nhẹ Siêu Ấm Mùa Đông 2023 𝘽𝙮𝙘𝙖𝙢𝙘𝙖𝙢 
2 ÁO PHAO ",,,,,,,,,,,https://shopee.vn/product/574105684/18195211674,https://www.tiktok.com/view/product/1729849904227584321?region=VN&locale=vi-VN,,,,Test sản phẩm,
25163768994,1730045483694786881,Áo Sơ Mi 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Kẻ CỘC TAY Vải Oxford Phối Cổ Trắng Dáng Rộng Phong Cách Hàn Quốc.,219 279,sơ mi oxford cộc tay,,Sản phẩm lẻ,Sơ mi,oxford,402KE1_AMN064_,"402KE1_AMN064_XA
402KE1_AMN064_HO
402KE1_AMN064_VA",https://cf.shopee.vn/file/vn-11134207-7r98o-lz7521ithsulcc,,SP đang bán,Team D,Bình + Nghĩa,Đ. Yến,Lan Hương,"Hồng
Xanh
Vàng",,"size 1: <m65, <55kg
size 2: <m70, <60kg 
size 3: <m75, <65kg",,,"- Áo sơ mi cộc tay form rộng phù hợp cả nam và nữ
- chất liệu  cotton thấm hút mồ hôi.
-  Điểm nhấn nằm ở cổ áo màu trắng và nút cài ở tay áo, phần nút cài có thể tuỳ chỉnh độ dài tay áo. 
- Phía túi áo trước và sau lưng có chữ thêu tỉ mỉ, chắn chắn, không lo bong tróc",,,14,14,1,https://drive.google.com/drive/u/2/folders/1Z_47VD9WgvoFoQHUlIJdGnVvpMx8Rp_P,,,,,,,,,,,,https://shopee.vn/product/574105684/25163768994,https://www.tiktok.com/view/product/1730045483694786881?region=VN&locale=vi-VN,,,,Tối ưu đầu vào,
27023377749,1732074958036437313,Quần Tây Basic 2025 Ống Rộng 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Hack Dáng Đứng Form Quần Tây Đi Làm Đi Học Basic Cho Nữ,196 258,Quần Tây Basic,,Sản phẩm lẻ,Quần dài ứng dụng,,501UM1_QTD007_,"501UM1_QTD007_BE
501UM1_QTD007_GH",https://cf.shopee.vn/file/vn-11134207-7ra0g-m7xiqyjo8n7m83,,SP đang bán,Team D,Bình + Nghĩa,Thảo Ph,Lan Hương,"Ghi
Kem",,"size 1: <m65, <55kg
size 2: <m70, <60kg 
size 3: <m75, <65kg",,,"- Quần  tây dáng ống rộng
- Có chiết ly ở eo tăng độ mềm mại nữ tinh",,,20,20,1,chưa có,CAM CAM 15SP ,,,,,,,,,,,https://shopee.vn/product/574105684/27023377749,https://www.tiktok.com/view/product/1732074958036437313?region=VN&locale=vi-VN,,,,,
29857446384,1730948196841982273,Áo Sweater Trễ Vai Nỉ Lông Cáo Logo Mini Nhiều Màu Nữ Tính Hàn Quốc 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎,201 260,SW Trễ Vai,,Sản phẩm lẻ,Sweater,nỉ lông cáo,408NI1_AHOD016_,"408NI1_AHOD016_DO
408NI1_AHOD016_TR
408NI1_AHOD016_GH
",https://cf.shopee.vn/file/vn-11134207-7ras8-m1s59g5yihqr87,,SP đang bán,Team D,Bình + Nghĩa,Thảo Ng,Lan Hương,"Trắng
Xám
Đỏ
Đen",,"size 1: <m65, <55kg
size 2: <m70, <60kg 
size 3: <m75, <65kg",,,"- Áo lệch vai tạo điểm nhấn khác biệt so với các sản phẩm sweater trên thị trường.
- Hình thêu logo mini trước ngực, màu hình in thay đổi theo màu áo.
- Mặc được hai kiểu lệch 1 vai hoặc trễ ngang 2 vai.
- Form dáng rộng, có độ thụng ở tay áo và gấu áo.",,,12,12,1,https://drive.google.com/drive/u/2/folders/1fe0u8I-N-RvrMp_b1nZTBKytz1RNYQfJ,3SP 2D,,,,,,,,,,,https://shopee.vn/product/574105684/29857446384,https://www.tiktok.com/view/product/1730948196841982273?region=VN&locale=vi-VN,,,,,
29868454007,1731608836844783937,Áo Khoác Cổ Polo Khóa Kéo 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Logo Mini Nỉ Mềm Mịn Basic,206 279,polo ni khoá kéo,,Sản phẩm lẻ,Áo khoác nỉ,nỉ 2 da,411NI1_AKHD008_,"411NI1_AKHD008_TS
411NI1_AKHD008_XT",https://cf.shopee.vn/file/vn-11134207-820l4-mff56evyhe6k21,,SP đang bán,Team D,Bình + Nghĩa,Thảo Ph,Lan Hương,"Xanh
Xám Tiêu",,"size 1: <m65, <55kg
size 2: <m70, <60kg 
size 3: <m75, <65kg",,,"- Chất liệu nỉ 2 da không xù
- Áo cổ bẻ phối khóa kéo kim loại chất lượng cao
- Tay áo Raglan thẩm  mĩ
- Có hai túi áo đằng trước tiện lợi
- Hình thêu rõ ràng nổi bật",,,19,19,2,,BYC 2SP 10.01 ,,,,,,,,,,,https://shopee.vn/product/574105684/29868454007,https://www.tiktok.com/view/product/1731608836844783937?region=VN&locale=vi-VN,,,,,
43301404237,1731454652718482753,[Our Beloved Summer Collection] Áo Sơ Mi Oxford Dài Tay Oversized Form Rộng 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 AMD024,206 268,Sơ Mi Dài tay new thêu BYC. SMD2,,Our Beloved Summer,Sơ mi,oxford,504KE1_AMD024_,"504KE1_AMD024_XA
504KE1_AMD024_VA",https://cf.shopee.vn/file/vn-11134207-7ras8-mb3pt5y5yhncc7,,Bán hết cắt mẫu,Team D,Bình + Nghĩa,Đ. Yến,Lan Hương,"Kẻ vàng
Kẻ xanh",,"size 1: <m65, <55kg
size 2: <m70, <60kg 
size 3: <m75, <65kg",,,"- Áo Sơ mi chất liệu Oxford mềm, thoáng
- Tay dài, mặc được nhiều kiểu
- Hình thêu thân trước nổi bật
- Hình in thân sau ấn tượng",,,14,14,1,chưa có,"CAM CAM 14SP 
FINAL 7sp Camcam 

",,,,,,,,,,,https://shopee.vn/product/574105684/43301404237,https://www.tiktok.com/view/product/1731454652718482753?region=VN&locale=vi-VN,,,,,
26110887475,1731091355763771713,Set Áo Sweater 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Mix Cổ Sơ Mi Học Đường Hàn Quốc Năng Động,"Bản thường áo: 160 -> 186
Bản pre áo: 271 -> 259
Bản thường quần: 160 -> 150
Bản pre quần: 271 -> 259
Set: 319/459",,,Sản phẩm lẻ,Set,nỉ 2 da,409NI1_ASWD078_,"409NI1_ASWD078_XT
409NI1_ASWD078_TS",https://cf.shopee.vn/file/vn-11134207-820l4-mh02d64iyeiyf8,,SP đang bán,Team D,Bình + Nghĩa,Đ. Yến,Lan Hương,"Đen
Xám",,"size 1: <m65, <55kg
size 2: <m70, <60kg 
size 3: <m75, <65kg",,,"- Áo cổ trụ lệch, phối sơ mi, form áo sweater dài tay.
- Chân váy dáng chữ A có 2 túi hộp to đăng trước, cạp chun dễ mặc, tôn vòng 3.
- Chất nỉ 2 da không bị bí bách như nỉ bông, mặc thoáng mát dễ vận động, thích hợp mặc mùa thu và đầu đông se se lạnh.
- Áo có hình in to đằng trước.
- Set phối màu dễ mặc, tôn dáng.",,,15,15,2,https://drive.google.com/drive/u/2/folders/1LOP40aiFMu0vqUcScI1jFCi3keXSawNU,,,,,,,,,,,,https://shopee.vn/product/574105684/26110887475,https://www.tiktok.com/view/product/1731091355763771713?region=VN&locale=vi-VN,,,,,
40251369391,1731451830157739329,[Our Beloved Summer Collection] Quần Short Ngắn Kẻ Cotton 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Phong Cách Hàn Quốc Cơ Bản Cho Nữ QEN027,145 186,Short Kẻ,x,Sản phẩm lẻ,Quần short thời trang,vải kẻ chéo,504CH1_QEN027_,"504CH1_QEN027_DE
504CH1_QEN027_GH",https://cf.shopee.vn/file/vn-11134207-7ras8-mdcpo5qdrwpo60,,Bán hết cắt mẫu,Team D,Bình + Nghĩa,Thảo Ng,Lan Hương,"Kẻ Xám
Kẻ Đen",,,,,"- Chất liệu vải cotton thoáng mát, thấm hút mồ hôi tốt
- Phối khuy ở đỉa quần khá thời trang
- Có túi sườn tiện lợi",,,15,15,1,https://drive.google.com/drive/folders/1Jc297Jsz2KrudPyc5d8NNUpeO4cz90sV?usp=drive_link,CAM CAM 14SP ,,,,,,,,,,,https://shopee.vn/product/574105684/40251369391,https://www.tiktok.com/view/product/1731451830157739329?region=VN&locale=vi-VN,,,,,
28416289592,1731174991610808641,Áo Giữ Nhiệt Cổ Tròn 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Ôm Body Dài Tay Chất Thun Gân Co Dãn Mềm Mịn Lót Lông Nhẹ,120 160,AO_GIU_NHIET_TRON,,Sản phẩm lẻ,Áo giữ nhiệt,thun gân có lông ,411ZI1_ANHD033_,"411ZI1_ANHD033_TR
411ZI1_ANHD033_DE
411ZI1_ANHD033_TĐ
411ZI1_ANHD033_DO",https://cf.shopee.vn/file/vn-11134207-7ras8-m26m1g1z9z1uf9,,Bán hết cắt mẫu,Team D,Bình + Nghĩa,Đ. Yến,Lan Hương,"Đen
Trắng
Xám",,,,,"- Chất liệu Cotton co dãn tốt, mềm mại, thoáng mát
- Cổ tròn năng động, dễ phối đồ",,,8,8,1,https://drive.google.com/drive/u/2/folders/17wuXwbJAWQNQ14aKATJC4RUVkBLjLJcc,,,,,,,,,,,,https://shopee.vn/product/574105684/28416289592,https://www.tiktok.com/view/product/1731174991610808641?region=VN&locale=vi-VN,,,,,
26761280354,1731153302240856385,Áo Khoác Da Loang 𝑩𝒚𝒄𝒂𝒎𝒄𝒂𝒎 Phối Túi Hộp Cao Cấp Phong Cách Retro Đường Phố,454 515,Áo Da Túi Hộp,,Sản phẩm lẻ,Áo khoác khác,da trơn,409PU1_AKHD011_,"409PU1_AKHD011_DE
409PU1_AKHD011_NA",https://cf.shopee.vn/file/vn-11134207-820l4-mepa6yh9t91d6d,,SP đang bán,Team D,Bình + Nghĩa,Đ. Yến,Lan Hương,"Nâu
Đen",,"size 1: <m65, <55kg
size 2: <m70, <60kg 
size 3: <m75, <65kg",,,"- Áo Da fom rộng 
- Phối túi to, tay bo, phần thân bo thân dưới tạo cảm giác gọn gàng
- Khóa kéo kim loại, có cúc bấm ở cổ và tay áo",,,20,20,1,,,,,,,,,,,,,https://shopee.vn/product/574105684/26761280354,https://www.tiktok.com/view/product/1731153302240856385?region=VN&locale=vi-VN,,,,,
